Serial,NAME,Work_CITED,WorkWD,Author,WORK_TYPE,TEXT_EN,Passages,LOGOS_USE,Greek_URL,NARRATIVE_LOC,GEOMETRY
172,"Homer, Iliad Catalogue 2.584 on Helos",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"for that he was noblest, and led a people far the most in number. And they that held the hollow land of Lacedaemon with its many ravines, and Pharis and Sparta and Messe, the haunt of doves, and that dwelt in Bryseiae and lovely Augeiae, and that held Amyclae and Helus, a citadel hard by the sea, and that held Laas, and dwelt about Oetylus,—these were led by Agamemnon's brother, even Menelaus, good at the war-cry, with sixty ships; and they were marshalled apart. And himself he moved among them, confident in his zeal, urging his men to battle;",3.20.6,R-quotation,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:2.580-2.590,"Eleusinian Demeter sanctuary on Taygetus, Lakonia","{""type"": ""Point"", ""coordinates"": [22.41979, 37.01384]}"
173,"Homer, Iliad Catalogue 2.592 on Pylos and other cities but not Messene",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"to get him requital for his strivings and groanings for Helen's sake. And they that dwelt in Pylos and lovely Arene and Thryum, the ford of Alpheius, and fair-founded Aepy, and that had their abodes in Cyparisseis and Amphigeneia and Pteleos and Helus and Dorium,where the Muses met Thamyris the Thracian and made an end of his singing, even as he was journeying from Oechalia, from the house of Eurytus the Oechalian: for he vaunted with boasting that he would conquer, were the Muses themselves to sing against him, the daughters of Zeus that beareth the aegis; but they in their wrath maimed him, and took from him his wondrous song, and made him forget his minstrelsy;—all these folk again had as leader the horseman, Nestor of Gerenia.",4.1.3,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:11.620-11.626/,Choirios Nape,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.143588429711173, 36.94888471665877], [22.18624381440418, 36.95017414417967], [22.223199270082375, 36.95378608209073], [22.248155909035262, 36.960469507191235], [22.25775393867147, 36.96224967963566], [22.262659624143453, 36.98275144390442], [22.284975814421244, 36.99240306697337], [22.277683819340496, 36.9974822900312], [22.25528655397426, 36.98707795027782], [22.249117608796496, 36.96730110791651], [22.220231007097283, 36.9612590436016], [22.193853679994135, 36.956753242978635], [22.16522532799945, 36.956871930927164], [22.14004783897485, 36.95194522129127], [22.143588429711173, 36.94888471665877]]]}]}"
174,"Homer, Iliad Catalogue 2.602 on Phliasians not listed with the Arcadians",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"And they that held Arcadia beneath the steep mountain of Cyllene, beside the tomb of Aepytus, where are warriors that fight in close combat; and they that dwelt in Pheneos and Orchomenus, rich in flocks, and Rhipe and Stratia and wind-swept Enispe; and that held Tegea and lovely Mantineia; and that held Stymphalus and dwelt in Parrhasia, —all these were led by the son of Ancaeus, Lord Agapenor, with sixty ships; and on each ship embarked full many Arcadian warriors well-skilled in fight. For of himself had the king of men, Agamemnon, given them benched ships wherewith to cross over the wine-dark sea, even the son of Atreus, for with matters of seafaring had they naught to do.",2.12.3,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-eng3:2.581-2.615,straight road Sikyon to Phlious,"{""type"": ""LineString"", ""coordinates"": [[22.726396, 37.982321], [22.725522, 37.980813], [22.726492, 37.978791], [22.725143, 37.977837], [22.722838, 37.975635], [22.722692, 37.975022], [22.721875, 37.974774], [22.717733, 37.972515], [22.71467, 37.972355], [22.709941, 37.972698], [22.706137, 37.972176], [22.703123, 37.972236], [22.701318, 37.972042], [22.696395, 37.968804], [22.693337, 37.969252], [22.691337, 37.969864], [22.69004, 37.96967], [22.689204, 37.969878], [22.688548, 37.96958], [22.686907, 37.969341], [22.685027, 37.967984], [22.684907, 37.967506], [22.682729, 37.965283], [22.682297, 37.964418], [22.681387, 37.963598], [22.681208, 37.962971], [22.679179, 37.96233], [22.678209, 37.960733], [22.677642, 37.960241], [22.677791, 37.959823], [22.678761, 37.959346], [22.679283, 37.9586], [22.678492, 37.956909], [22.678291, 37.954856], [22.678014, 37.953768], [22.678654, 37.953233], [22.67885, 37.952424], [22.679582, 37.952304], [22.680357, 37.951528], [22.680715, 37.950947], [22.680924, 37.950081], [22.681519, 37.94971], [22.68149, 37.949147], [22.68086, 37.948622], [22.681089, 37.947275], [22.681815, 37.94507], [22.681289, 37.94464], [22.679914, 37.944249], [22.678664, 37.943552], [22.678473, 37.942902], [22.676687, 37.941604], [22.67537, 37.939704], [22.670598, 37.938412], [22.669432, 37.936944], [22.666705, 37.935778], [22.663979, 37.935006], [22.663721, 37.93324], [22.662795, 37.932333], [22.658422, 37.930538], [22.657601, 37.929325], [22.656771, 37.9273], [22.656711, 37.926569], [22.656995, 37.925615], [22.657189, 37.923929], [22.656457, 37.923183], [22.655756, 37.922139], [22.655577, 37.921273], [22.65592, 37.920139], [22.655935, 37.919364], [22.655339, 37.918767], [22.654622, 37.91735], [22.654787, 37.916305], [22.654533, 37.914843], [22.654682, 37.91186], [22.65513, 37.910875], [22.655428, 37.908682], [22.655354, 37.907503], [22.655518, 37.905847], [22.654891, 37.904549], [22.654115, 37.90446], [22.652519, 37.90252], [22.651504, 37.900477], [22.651504, 37.900477], [22.649207, 37.898492], [22.648625, 37.896807], [22.648103, 37.896165], [22.64779, 37.894181], [22.648297, 37.892227], [22.648625, 37.891898], [22.649058, 37.88972], [22.649416, 37.889168], [22.651415, 37.88887], [22.651576, 37.888178], [22.651343, 37.887106], [22.650667, 37.886593], [22.65104, 37.884378], [22.650644, 37.882117], [22.651273, 37.881278], [22.652042, 37.879157], [22.652532, 37.875987], [22.653814, 37.874518], [22.653255, 37.873702], [22.652252, 37.873119], [22.652066, 37.871628], [22.65153, 37.870882], [22.651343, 37.869227], [22.650737, 37.868597], [22.650947, 37.867268], [22.650667, 37.866756], [22.650201, 37.866429], [22.650084, 37.86594], [22.650364, 37.865334], [22.649455, 37.864028], [22.648499, 37.863679], [22.648313, 37.862746], [22.647241, 37.860648], [22.645143, 37.858317], [22.644863, 37.856103], [22.6447, 37.850159], [22.645585, 37.846779]]}"
175,"Homer, Iliad Catalogue 2.603-614 on Arcadians in borrowed ships",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"and they that dwelt in Pheneos and Orchomenus, rich in flocks, and Rhipe and Stratia and wind-swept Enispe; and that held Tegea and lovely Mantineia; and that held Stymphalus and dwelt in Parrhasia, —all these were led by the son of Ancaeus, Lord Agapenor, with sixty ships; and on each ship embarked full many Arcadian warriors well-skilled in fight. For of himself had the king of men, Agamemnon, given them benched ships wherewith to cross over the wine-dark sea, even the son of Atreus, for with matters of seafaring had they naught to do.",8.1.3,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:2.605-2.615?right=perseus-eng3,Argolid - Arkadia border near Mt. Artemision,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.475774354441114, 37.654310963973046], [22.507440284004105, 37.571411550419754], [22.521537982781183, 37.57134643717862], [22.488651704535528, 37.65540068883523], [22.475774354441114, 37.654310963973046]]]}]}"
176,"Homer, Iliad Catalogue 2.604 on tomb of Aepytus",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"and took from him his wondrous song, and made him forget his minstrelsy;—all these folk again had as leader the horseman, Nestor of Gerenia. And with him were ranged ninety hollow ships. And they that held Arcadia beneath the steep mountain of Cyllene, beside the tomb of Aepytus, where are warriors that fight in close combat; and they that dwelt in Pheneos and Orchomenus, rich in flocks,",8.16.3,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:2.604-2.610/?right=perseus-eng3,Tomb of Aipytos on Mt. Sepia,"{""type"": ""Point"", ""coordinates"": [22.396, 37.86]}"
177,"Homer, Iliad Catalogue 2.606: Enispe, Stratie, and Rhipe inhabitable islands in Ladon",Homer's Iliad,Q8275,Homer,epic poem,"and they that dwelt in Pheneos and Orchomenus, rich in flocks, and Rhipe and Stratia and wind-swept Enispe; and that held Tegea and lovely Mantineia; and that held Stymphalus and dwelt in Parrhasia, —all these were led by the son of Ancaeus, Lord Agapenor,with sixty ships; and on each ship embarked full many Arcadian warriors well-skilled in fight.",8.25.12,D-hodology,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-eng3:2.581-2.615,Korakon Nesos,"{""type"": ""Point"", ""coordinates"": [21.8225, 37.5949]}"
178,"Homer, Iliad Catalogue 2.615-24 on Elean commanders",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"And they that dwelt in Buprasium and goodly Elis, all that part thereof that Hyrmine and Myrsinus on the seaboard and the rock of Olen and Alesium enclose between them—these again had four leaders, and ten swift ships followed each one, and many Epeians embarked thereon. Of these some were led by Amphimachus and Thalpius, of the blood of Actor, sons, the one of Cteatus and the other of Eurytus; and of some was the son of Amarynceus captain, even mighty Diores; and of the fourth company godlike Polyxeinus was captain, son of king Agasthenes, Augeias' son.",5.3.4,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:2.620-2.624?right=perseus-eng3,Messenia-Eleia border at Neda river,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[21.679447516607297, 37.377855796409506], [21.69308574928442, 37.383549915396586], [21.70656257510359, 37.3919005637385], [21.73281320051933, 37.392128991291955], [21.736408366160447, 37.390560791808994], [21.765853660145467, 37.39367544934754], [21.7695169571287, 37.400983291326355], [21.733481582057408, 37.39813684282345], [21.704581740057193, 37.39765182548311], [21.676920510091378, 37.386169691588165], [21.679447516607297, 37.377855796409506]]]}]}"
179,"Homer, Iliad Catalogue 2.729 on stepped Ithome",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"yet full soon were the Argives beside their ships to bethink them of king Philoctetes. Howbeit neither were these men leaderless, though they longed for their leader; but Medon marshalled them, the bastard son of Oileus, whom Rhene bare to Oileus, sacker of cities. And they that held Tricca and Ithome of the crags, and Oechalia, city of Oechalian Eurytus, these again were led by the two sons of Asclepius, the skilled leeches Podaleirius and Machaon. And with these were ranged thirty hollow ships. And they that held Ormenium and the fountain Hypereia,",4.9.2,R-quotation,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:2.729-2.735/?right=perseus-eng3,Choirios Nape,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.143588429711173, 36.94888471665877], [22.18624381440418, 36.95017414417967], [22.223199270082375, 36.95378608209073], [22.248155909035262, 36.960469507191235], [22.25775393867147, 36.96224967963566], [22.262659624143453, 36.98275144390442], [22.284975814421244, 36.99240306697337], [22.277683819340496, 36.9974822900312], [22.25528655397426, 36.98707795027782], [22.249117608796496, 36.96730110791651], [22.220231007097283, 36.9612590436016], [22.193853679994135, 36.956753242978635], [22.16522532799945, 36.956871930927164], [22.14004783897485, 36.95194522129127], [22.143588429711173, 36.94888471665877]]]}]}"
180,"Homer, Iliad, Catalogue 2.749-59 on Styx waters flowing into Titaresios river",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"Not alone was he, but with him was Leonteus, scion of Ares, the son of Caeneus' son, Coronus, high of heart. And with them there followed forty black ships. And Gouneus led from Cyphus two and twenty ships, and with him followed the Enienes and the Peraebi, staunch in fight, that had set their dwellings about wintry Dodona, and dwelt in the ploughland about lovely Titaressus, that poureth his fair-flowing streams into Peneius; yet doth he not mingle with the silver eddies of Peneius, but floweth on over his waters like unto olive oil; for that he is a branch of the water of Styx, the dread river of oath. And the Magnetes had as captain Prothous, son of Tenthredon. These were they that dwelt about Peneius and Pelion, covered with waving forests. Of these was swift Prothous captain; and with him there followed forty black ships.",8.18.2,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:2.748-2.755,Styx river (Achaia),"{""type"": ""Point"", ""coordinates"": [22.21, 37.98]}"
181,"Homer, Iliad 1.148-164 on Achilles' coming to Troy",Homer's Iliad,Q8275,Homer,epic poem,"Glaring from beneath his brows spoke to him swift-footed Achilles: “Ah me, clothed in shamelessness, thinking of profit, how shall any man of the Achaeans obey your words with a ready heart<br>either to go on a journey or to fight against men with force? It was not on account of the Trojan spearmen that I came here to fight, since they have done no wrong to me. Never have they driven off my cattle or my horses, nor ever in deep-soiled Phthia, nurse of men,<br>did they lay waste the harvest, for many things lie between us—shadowy mountains and sounding sea. But you, shameless one, we followed, so that you might rejoice, seeking to win recompense for Menelaus and for yourself, dog-face, from the Trojans. This you disregard, and take no heed of.<br> And now you threaten that you will yourself take my prize away from me, for which I toiled so much, which the sons of the Achaeans gave to me. Never have I prize like yours, whenever the Achaeans sack a well-inhabited citadel of the Trojans.",3.24.11,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.148-1.165,Tomb of Las at Arainon,"{""type"": ""Point"", ""coordinates"": [22.521276, 36.69704]}"
